City,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloud Coverage,Country,Date
port-aux-francais,70.2167,-49.35,6.53,87,16.05,99,TF,1689686393
talnakh,88.3972,69.4865,12.87,86,5.86,100,RU,1689686343
bodaybo,114.1933,57.8506,14.63,74,1.2,100,RU,1689686394
chonchi,-73.8092,-42.6128,2.29,83,1.57,100,CL,1689686394
markala,-6.0659,13.7021,36.04,34,2.92,93,ML,1689686395
hasaki,140.8333,35.7333,24.22,84,3.66,100,JP,1689686396
laguna,-121.4238,38.421,18.6,69,3.09,0,US,1689686396
bredasdorp,20.0403,-34.5322,14.83,81,9.22,97,ZA,1689686397
grytviken,-36.5092,-54.2811,-4.93,79,2.91,16,GS,1689686398
udachny,112.4,66.4167,16.07,59,6.24,100,RU,1689686398
stanley,-1.6985,54.868,14.32,90,2.06,75,GB,1689686399
san patricio,-97.5169,28.017,27.26,85,3.88,22,US,1689686399
st. john's,-52.7093,47.5649,23.91,87,7.72,100,CA,1689686309
puerto deseado,-65.8938,-47.7503,0.94,79,5.4,14,AR,1689686400
puerto natales,-72.4875,-51.7236,-5.75,86,2.06,40,CL,1689686401
avarua,-159.775,-21.2078,20.03,100,2.06,75,CK,1689686401
makrana,74.7167,27.05,33.2,54,2.55,100,IN,1689686402
college,-147.8028,64.8569,15.94,83,2.57,75,US,1689686402
nuuk,-51.7216,64.1835,8.34,100,0.51,75,GL,1689686403
santa elena de uairen,-61.1333,4.6167,22.64,75,1.61,84,VE,1689686403
west island,96.8225,-12.1568,24.99,83,7.72,100,CC,1689686404
vorgashor,63.95,67.5833,20.47,67,4.44,93,RU,1689686404
kodiak,-152.4072,57.79,11.73,94,4.12,100,US,1689686405
waitangi,-176.5597,-43.9535,9.9,86,1.34,100,NZ,1689686405
kangiwa,3.8187,12.5521,36.51,34,2.36,33,NG,1689686406
chernyshevskiy,112.4714,63.0128,13.36,61,2.21,79,RU,1689686406
greymouth,171.2,-42.4667,9.36,93,1.92,100,NZ,1689686407
sitka,-135.33,57.0531,13.94,82,0.0,75,US,1689686407
port lincoln,135.8667,-34.7333,11.43,70,4.59,10,AU,1689686408
garbahaarrey,42.2209,3.3289,33.26,30,9.36,92,SO,1689686408
badger,-147.5333,64.8,15.87,84,2.57,100,US,1689686409
edinburgh of the seven seas,-12.3116,-37.0676,14.11,85,12.9,100,SH,1689686353
palmer,-72.3287,42.1584,24.43,80,2.57,75,US,1689686410
albany,-73.9662,42.6001,22.89,83,1.03,79,US,1689686410
longyearbyen,15.6401,78.2186,10.91,54,1.54,40,SJ,1689686338
castillos,-53.8333,-34.1667,7.56,70,2.96,99,UY,1689686411
korgan,37.3467,40.8247,20.4,64,3.73,4,TR,1689686412
kudymkar,54.656,59.0173,19.54,80,3.46,100,RU,1689686412
carnarvon,113.6333,-24.8667,18.97,76,4.58,0,AU,1689686413
'ain el bell,3.2247,34.3438,37.69,7,4.92,3,DZ,1689686413
faya-largeau,19.1043,17.9257,43.22,8,0.95,74,TD,1689686414
igarka,86.5833,67.4667,18.03,60,6.22,100,RU,1689686414
les anglais,-74.2197,18.3054,28.69,71,4.75,100,HT,1689686415
kurkino,38.6582,53.4257,26.75,58,6.85,99,RU,1689686415
whitehorse,-135.0538,60.7161,12.41,82,2.06,75,CA,1689686416
utrik,169.8474,11.2278,28.03,77,6.33,36,MH,1689686416
